"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"151" "E3_4" "E3" "37E_JlivBTP_Bd" 4 0.127 "T0" 0 "9" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 0.00159999999999999
"152" "E4_4" "E4" "37E_JlivBTP_Bd" 4 0.127 "T0" 0 "10" "Bd" "37E_JlivBTP" 0.1254 0.00452646538580479 0.00159999999999999
"153" "E7_4" "E7" "54D_Bd" 4 0.13 "T0" 0 "9" "Bd" "54D" 0.1279 0.00276686746259295 0.00209999999999999
"154" "E8_4" "E8" "54D_Bd" 4 0.133 "T0" 0 "10" "Bd" "54D" 0.1279 0.00276686746259295 0.00509999999999999
"155" "E11_4" "E11" "54D_20D_Bd" 4 0.135 "T0" 0 "9" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.00270000000000001
"156" "E12_4" "E12" "54D_20D_Bd" 4 0.135 "T0" 0 "10" "Bd" "54D_20D" 0.1323 0.00188856206322871 0.00270000000000001
"157" "G1_4" "G1" "54D_2F_Bd" 4 0.138 "T0" 0 "1" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.000900000000000012
"158" "G2_4" "G2" "54D_2F_Bd" 4 0.139 "T0" 0 "3" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.00190000000000001
"159" "G3_4" "G3" "54D_2F_Bd" 4 0.139 "T0" 0 "4" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.00190000000000001
"160" "G4_4" "G4" "54D_2F_Bd" 4 0.141 "T0" 0 "5" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.00389999999999999
"161" "G5_4" "G5" "54D_2F_Bd" 4 0.141 "T0" 0 "6" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.00389999999999999
"162" "G6_4" "G6" "54D_2F_Bd" 4 0.147 "T0" 0 "7" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.00989999999999999
"163" "G7_4" "G7" "54D_2F_Bd" 4 0.15 "T0" 0 "8" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.0129
"164" "G8_4" "G8" "54D_2F_Bd" 4 0.146 "T0" 0 "9" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.00889999999999999
